Company,Year,MetricCode,Value,UnitRaw,MetricRaw,SourceSheet,Pillar
HMC,2022,GHG_SCOPE2,1684120.0,tCO₂-eq,Scope 2,Page 115 - B,E
HMC,2022,GHG_SCOPE3,137935453.0,tCO₂-eq,Scope 3,Page 115 - B,E
HMC,2022,GHG_TOTAL,2404069.0,tCO₂-eq,Sum of Scope 1 and 2,Page 115 - B,E
HMC,2022,GHG_TOTAL_ALL,140339522.0,tCO2-eq,Derived: Scope1 + Scope2 + Scope3,Page 115 - B,E
HMC,2022,HNS_TRIR,,Number of cases/20k working hours,Employee TRIR,Page 124 - A,S
HMC,2022,WASTE_RECYCLED,578957.0,Ton,Amount of waste recycling,Page 116 - D,E
HMC,2022,WASTE_TOTAL,649173.0,Ton,Total,Page 116 - D,E
HMC,2022,WATER_TOTAL,10578611.0,Ton,Water consumption,Page 116 - B,E
HMC,2023,EMPLOYEES_FEMALE,13036.0,Person,Female employees,Page 119 - A,S
HMC,2023,EMPLOYEES_MALE,111873.0,Person,Male employees,Page 119 - A,S
HMC,2023,EMPLOYEES_TOTAL,124909.0,Person,Total employees,Page 119 - A,S
HMC,2023,ENERGY_TOTAL,7544671.0,MWh,Energy Consumption Total,Page 115 - A,E
HMC,2023,GHG_SCOPE1,696590.0,tCO₂-eq,Scope 1,Page 115 - B,E
HMC,2023,GHG_SCOPE2,1579161.0,tCO₂-eq,Scope 2,Page 115 - B,E
HMC,2023,GHG_SCOPE3,148126153.0,tCO₂-eq,Scope 3,Page 115 - B,E
HMC,2023,GHG_TOTAL,2275751.0,tCO₂-eq,Sum of Scope 1 and 2,Page 115 - B,E
HMC,2023,GHG_TOTAL_ALL,150401904.0,tCO2-eq,Derived: Scope1 + Scope2 + Scope3,Page 115 - B,E
HMC,2023,HNS_TRIR,0.97,Number of cases/20k working hours,Employee TRIR,Page 124 - A,S
HMC,2023,WASTE_RECYCLED,978312.0,Ton,Amount of waste recycling,Page 116 - D,E
HMC,2023,WASTE_TOTAL,1047968.0,Ton,Total,Page 116 - D,E
HMC,2023,WATER_TOTAL,11181546.0,Ton,Water consumption,Page 116 - B,E
HMC,2024,EMPLOYEES_FEMALE,14185.0,Person,Female employees,Page 119 - A,S
HMC,2024,EMPLOYEES_MALE,112222.0,Person,Male employees,Page 119 - A,S
HMC,2024,EMPLOYEES_TOTAL,126407.0,Person,Total employees,Page 119 - A,S
HMC,2024,ENERGY_TOTAL,7273062.0,MWh,Energy Consumption Total,Page 115 - A,E
HMC,2024,GHG_SCOPE1,679822.0,tCO₂-eq,Scope 1,Page 115 - B,E
HMC,2024,GHG_SCOPE2,1417987.0,tCO₂-eq,Scope 2,Page 115 - B,E
HMC,2024,GHG_SCOPE3,147253154.0,tCO₂-eq,Scope 3,Page 115 - B,E
HMC,2024,GHG_TOTAL,2097809.0,tCO₂-eq,Sum of Scope 1 and 2,Page 115 - B,E
HMC,2024,GHG_TOTAL_ALL,149350963.0,tCO2-eq,Derived: Scope1 + Scope2 + Scope3,Page 115 - B,E
HMC,2024,G_REPORTS_RECEIVED,50.0,Cases,Number of grievances received (Employee Grievances in 2024),Page 58 - Employee Grievances in 2024,G
HMC,2024,HNS_TRIR,1.79,Number of cases/20k working hours,Employee TRIR,Page 124 - A,S
HMC,2024,WASTE_RECYCLED,849485.0,Ton,Amount of waste recycling,Page 116 - D,E
HMC,2024,WASTE_TOTAL,929013.0,Ton,Total,Page 116 - D,E
HMC,2024,WATER_TOTAL,10220059.0,Ton,Water consumption,Page 116 - B,E
ILJIN,2022,DRAWDOWN_FEMALE,2.0,Number,Drawdown - Female,Page 69 - I,S
ILJIN,2022,DRAWDOWN_MALE,5.0,Number,Drawdown - Male,Page 69 - I,S
ILJIN,2022,EMPLOYEES_FEMALE,58.0,Number,Gender - Female,Page 69 - F,S
ILJIN,2022,EMPLOYEES_MALE,216.0,Number,Gender - Male,Page 69 - F,S
ILJIN,2022,EMPLOYEES_TOTAL,274.0,Number,Employee Type - Total,Page 69 - F,S
ILJIN,2022,ENERGY_TOTAL,3558.047,MWh,Energy Usage (Electricity)Unit: Mwh),Energy_usage,E
ILJIN,2022,FLUCTUATION_RATIO,0.84,%,Fluctuation ratio,Page 69 - H,S
ILJIN,2022,WATER_TOTAL,4009.0,m3,Water usage (Waterworks (Unit: m3,Page 69 - B,E
ILJIN,2023,DRAWDOWN_FEMALE,2.0,Number,Drawdown - Female,Page 69 - I,S
ILJIN,2023,DRAWDOWN_MALE,6.0,Number,Drawdown - Male,Page 69 - I,S
ILJIN,2023,EMPLOYEES_FEMALE,60.0,Number,Gender - Female,Page 69 - F,S
ILJIN,2023,EMPLOYEES_MALE,219.0,Number,Gender - Male,Page 69 - F,S
ILJIN,2023,EMPLOYEES_TOTAL,279.0,Number,Employee Type - Total,Page 69 - F,S
ILJIN,2023,ENERGY_TOTAL,3893.612,MWh,Energy Usage (Electricity)Unit: Mwh),Energy_usage,E
ILJIN,2023,FLUCTUATION_RATIO,0.75,%,Fluctuation ratio,Page 69 - H,S
